mfo_code,bank_name_uz,bank_name_en,bank_short,swift_code
00873,O'zbekiston Milliy banki,National Bank of Uzbekistan,NBU,NBZBUZU2
01014,O'zsanoatqurilishbank,Uzpromstroybank,UPSB,USBLUZ22
00440,Asaka bank,Asaka Bank,ASAKA,ASAKUZ22
00449,Xalq banki,People's Bank,XALQ,HSBKUZ22
00405,Turonbank,Turonbank,TURON,TURZUZ22
00987,Ipak yo'li banki,Ipak Yuli Bank,IPY,IPYLUZU2
01115,Hamkorbank,Hamkorbank,HAMKOR,HMKRUZ22
00822,Kapitalbank,Kapitalbank,KAPITAL,KAPLUZ22
01106,InfinBank,InfinBank,INFIN,INFIUZ22
00844,Aloqabank,Aloqabank,ALOQA,ALQBUZ22
00892,Agroinvestbank,Agroinvestbank,AGROINV,AGRIUZ22
01012,Davr bank,Davr Bank,DAVR,DAVRUZ22
01064,Hi-Tech Bank,Hi-Tech Bank,HITECH,HTEKUZ22
01077,TBC Bank O'zbekiston,TBC Bank Uzbekistan,TBC,TBCUUZ22
01086,Ravnaq-bank,Ravnaq Bank,RAVNAQ,RVNQUZ22
01096,Ziraat Bank O'zbekiston,Ziraat Bank Uzbekistan,ZIRAAT,ZRTAUZ22
01105,Muomalat banki,Muomalat Bank,MUOMALAT,MUOLUZ22
