district_code,district_name_uz,district_name_en,region_iso,center_uz
1701,Andijon tumani,Andijan district,UZ-AN,Andijon
1702,Asaka tumani,Asaka district,UZ-AN,Asaka
1703,Baliqchi tumani,Baliqchi district,UZ-AN,Baliqchi
1704,Bo'z tumani,Bo'z district,UZ-AN,Bo'z
1705,Buloqboshi tumani,Buloqboshi district,UZ-AN,Buloqboshi
1706,Jalaquduq tumani,Jalaquduq district,UZ-AN,Jalaquduq
1707,Xo'jaobod tumani,Khojaobod district,UZ-AN,Xo'jaobod
1708,Izboskan tumani,Izboskan district,UZ-AN,Izboskan
1709,Qo'rg'ontepa tumani,Ko'rgantepa district,UZ-AN,Qo'rg'ontepa
1710,Marhamat tumani,Marhamat district,UZ-AN,Marhamat
1711,Oltinko'l tumani,Oltinko'l district,UZ-AN,Oltinko'l
1712,Paxtaobod tumani,Paxtaobod district,UZ-AN,Paxtaobod
1713,Shahrixon tumani,Shahrixon district,UZ-AN,Shahrixon
1714,Ulug'nor tumani,Ulug'nor district,UZ-AN,Ulug'nor
1801,Buxoro tumani,Bukhara district,UZ-BU,Buxoro
1802,G'ijduvon tumani,G'ijduvon district,UZ-BU,G'ijduvon
1803,Jondor tumani,Jondor district,UZ-BU,Jondor
1804,Kogon tumani,Kogon district,UZ-BU,Kogon
1805,Qorovulbozor tumani,Qorovulbozor district,UZ-BU,Qorovulbozor
1806,Olot tumani,Olot district,UZ-BU,Olot
1807,Peshku tumani,Peshku district,UZ-BU,Peshku
1808,Romitan tumani,Romitan district,UZ-BU,Romitan
1809,Shofirkon tumani,Shofirkon district,UZ-BU,Shofirkon
1810,Vobkent tumani,Vobkent district,UZ-BU,Vobkent
1811,Qorako'l tumani,Qorako'l district,UZ-BU,Qorako'l
1901,Oltiariq tumani,Oltiariq district,UZ-FA,Oltiariq
1902,Bag'dod tumani,Bag'dod district,UZ-FA,Bag'dod
1903,Beshariq tumani,Beshariq district,UZ-FA,Beshariq
1904,Buvayda tumani,Buvayda district,UZ-FA,Buvayda
1905,Dang'ara tumani,Dang'ara district,UZ-FA,Dang'ara
1906,Farg'ona tumani,Fergana district,UZ-FA,Farg'ona
1907,Furqat tumani,Furqat district,UZ-FA,Furqat
1908,Qo'qon tumani,Kokand district,UZ-FA,Qo'qon
1909,Qo'shtepa tumani,Qo'shtepa district,UZ-FA,Qo'shtepa
1910,Marg'ilon tumani,Margilan district,UZ-FA,Marg'ilon
1911,Rishton tumani,Rishton district,UZ-FA,Rishton
1912,So'x tumani,So'x district,UZ-FA,So'x
1913,Toshloq tumani,Toshloq district,UZ-FA,Toshloq
1914,Uchko'prik tumani,Uchko'prik district,UZ-FA,Uchko'prik
1915,Yozyovon tumani,Yozyovon district,UZ-FA,Yozyovon
2001,Arnasoy tumani,Arnasoy district,UZ-JI,Arnasoy
2002,Baxmal tumani,Baxmal district,UZ-JI,Baxmal
2003,Do'stlik tumani,Do'stlik district,UZ-JI,Do'stlik
2004,Forish tumani,Forish district,UZ-JI,Forish
2005,G'allaorol tumani,G'allaorol district,UZ-JI,G'allaorol
2006,Jizzax tumani,Jizzakh district,UZ-JI,Jizzax
2007,Mirzacho'l tumani,Mirzacho'l district,UZ-JI,Yangiyer
2008,Paxtakor tumani,Paxtakor district,UZ-JI,Paxtakor
2009,Sharof Rashidov tumani,Sharof Rashidov district,UZ-JI,Sharof Rashidov
2010,Zafarobod tumani,Zafarobod district,UZ-JI,Zafarobod
2011,Zarbdor tumani,Zarbdor district,UZ-JI,Zarbdor
2012,Zomin tumani,Zomin district,UZ-JI,Zomin
2101,Chortoq tumani,Chortoq district,UZ-NG,Chortoq
2102,Chust tumani,Chust district,UZ-NG,Chust
2103,Kosonsoy tumani,Kosonsoy district,UZ-NG,Kosonsoy
2104,Mingbuloq tumani,Mingbuloq district,UZ-NG,Mingbuloq
2105,Namangan tumani,Namangan district,UZ-NG,Namangan
2106,Norin tumani,Norin district,UZ-NG,Norin
2107,Pop tumani,Pop district,UZ-NG,Pop
2108,To'raqo'rg'on tumani,To'raqo'rg'on district,UZ-NG,To'raqo'rg'on
2109,Uchqo'rg'on tumani,Uchqo'rg'on district,UZ-NG,Uchqo'rg'on
2110,Yangiqo'rg'on tumani,Yangiqo'rg'on district,UZ-NG,Yangiqo'rg'on
2111,Tojiobod tumani,Tojiobod district,UZ-NG,Tojiobod
2201,Karmana tumani,Karmana district,UZ-NW,Karmana
2202,Konimex tumani,Konimex district,UZ-NW,Konimex
2203,Navbahor tumani,Navbahor district,UZ-NW,Navbahor
2204,Navoiy tumani,Navoi district,UZ-NW,Navoiy
2205,Nurota tumani,Nurota district,UZ-NW,Nurota
2206,Tomdi tumani,Tomdi district,UZ-NW,Tomdi
2207,Uchquduq tumani,Uchquduq district,UZ-NW,Uchquduq
2208,Xatirchi tumani,Xatirchi district,UZ-NW,Xatirchi
2301,Baxor tumani,Baxor district,UZ-QA,Baxor
2302,Chiroqchi tumani,Chiroqchi district,UZ-QA,Chiroqchi
2303,Dehqonobod tumani,Dehqonobod district,UZ-QA,Dehqonobod
2304,G'uzor tumani,G'uzor district,UZ-QA,G'uzor
2305,Kamashi tumani,Kamashi district,UZ-QA,Kamashi
2306,Qarshi tumani,Karshi district,UZ-QA,Qarshi
2307,Kasbi tumani,Kasbi district,UZ-QA,Kasbi
2308,Kitob tumani,Kitob district,UZ-QA,Kitob
2309,Ko'kdala tumani,Ko'kdala district,UZ-QA,Ko'kdala
2310,Mirishkor tumani,Mirishkor district,UZ-QA,Mirishkor
2311,Muborak tumani,Muborak district,UZ-QA,Muborak
2312,Nishon tumani,Nishon district,UZ-QA,Nishon
2313,Qamashi tumani,Qamashi district,UZ-QA,Qamashi
2314,Shahrisabz tumani,Shahrisabz district,UZ-QA,Shahrisabz
2315,Yakkabog' tumani,Yakkabog' district,UZ-QA,Yakkabog'
2401,Amudaryo tumani,Amudaryo district,UZ-QR,Mangit
2402,Beruniy tumani,Beruniy district,UZ-QR,Beruniy
2403,Chimboy tumani,Chimboy district,UZ-QR,Chimboy
2404,Ellikkala tumani,Ellikkala district,UZ-QR,To'rtko'l
2405,Kegeyli tumani,Kegeyli district,UZ-QR,Kegeyli
2406,Mo'ynoq tumani,Mo'ynoq district,UZ-QR,Mo'ynoq
2407,Nukus tumani,Nukus district,UZ-QR,Nukus
2408,Qo'ng'irot tumani,Qo'ng'irot district,UZ-QR,Qo'ng'irot
2409,Qorao'zak tumani,Qorao'zak district,UZ-QR,Qorao'zak
