holiday_date,holiday_name_uz,holiday_name_en,is_annual_recurring
2024-01-01,Yangi yil,New Year,true
2024-03-08,Xotin-qizlar kuni,Women's Day,true
2024-03-21,Navro'z,Nowruz,true
2024-05-09,Xotira va qadrlash kuni,Remembrance and Appreciation Day,true
2024-06-01,Bolalar himoyasi kuni,International Children's Day,true
2024-09-01,Mustaqillik kuni,Independence Day,true
2024-10-01,O'qituvchilar va murabbiylar kuni,Teachers' Day,true
2024-12-08,Konstitutsiya kuni,Constitution Day,true
2025-01-01,Yangi yil,New Year,true
2025-03-08,Xotin-qizlar kuni,Women's Day,true
2025-03-21,Navro'z,Nowruz,true
2025-05-09,Xotira va qadrlash kuni,Remembrance and Appreciation Day,true
2025-06-01,Bolalar himoyasi kuni,International Children's Day,true
2025-09-01,Mustaqillik kuni,Independence Day,true
2025-10-01,O'qituvchilar va murabbiylar kuni,Teachers' Day,true
2025-12-08,Konstitutsiya kuni,Constitution Day,true
2026-01-01,Yangi yil,New Year,true
2026-03-08,Xotin-qizlar kuni,Women's Day,true
2026-03-21,Navro'z,Nowruz,true
2026-05-09,Xotira va qadrlash kuni,Remembrance and Appreciation Day,true
2026-06-01,Bolalar himoyasi kuni,International Children's Day,true
2026-09-01,Mustaqillik kuni,Independence Day,true
2026-10-01,O'qituvchilar va murabbiylar kuni,Teachers' Day,true
2026-12-08,Konstitutsiya kuni,Constitution Day,true
