iso_code,name_uz,name_en,name_ru,category,capital_uz
UZ-AN,Andijon viloyati,Andijan Region,Андижанская область,viloyat,Andijon
UZ-BU,Buxoro viloyati,Bukhara Region,Бухарская область,viloyat,Buxoro
UZ-FA,Farg'ona viloyati,Fergana Region,Ферганская область,viloyat,Farg'ona
UZ-JI,Jizzax viloyati,Jizzakh Region,Джизакская область,viloyat,Jizzax
UZ-NG,Namangan viloyati,Namangan Region,Наманганская область,viloyat,Namangan
UZ-NW,Navoiy viloyati,Navoiy Region,Навоийская область,viloyat,Navoiy
UZ-QA,Qashqadaryo viloyati,Kashkadarya Region,Кашкадарьинская область,viloyat,Qarshi
UZ-QR,Qoraqalpog'iston Respublikasi,Republic of Karakalpakstan,Республика Каракалпакстан,respublika,Nukus
UZ-SA,Samarqand viloyati,Samarkand Region,Самаркандская область,viloyat,Samarqand
UZ-SI,Sirdaryo viloyati,Sirdarya Region,Сырдарьинская область,viloyat,Guliston
UZ-SU,Surxondaryo viloyati,Surkhandarya Region,Сурхандарьинская область,viloyat,Termiz
UZ-TK,Toshkent shahri,Tashkent City,город Ташкент,shahar,Toshkent
UZ-TO,Toshkent viloyati,Tashkent Region,Ташкентская область,viloyat,Nurafshon
UZ-XO,Xorazm viloyati,Khorezm Region,Хорезмская область,viloyat,Urganch
